"","SYMBOL","ENTREZID","R"
"420","ZNF207","7756",0.481012139576886
"422","ZNF205","7755",0.0562874223654352
"424","ZNF202","7753",0.364632307087374
"425","ZNF200","7752",0.0552416088155177
"426","ZNF20","7568",-0.0466881534689456
"427","ZNF2","7549",0.211394883246056
"428","ZNF197","10168",0.221839924883935
"429","ZNF195","7748",0.234670984343819
"432","ZNF19","7567",0.1304113913562
"433","ZNF189","7743",0.263274250260695
"435","ZNF184","7738",0.184721229586153
"436","ZNF182","7569",0.400146749002332
"437","ZNF181","339318",-0.13541946343422
"438","ZNF18","7566",-0.049232458962128
"440","ZNF177","7730",0.488959735647634
"441","ZNF175","7728",0.260856211455236
"442","ZNF174","7727",0.104051407647981
"443","ZNF17","7565",0.514278450307448
"444","ZNF169","169841",0.293150543745883
"446","ZNF165","7718",0.00304555978631796
"448","ZNF160","90338",-0.00569425810736551
"449","ZNF16","7564",0.057530874479705
"450","ZNF157","7712",-0.189301858190355
"451","ZNF155","7711",0.322145331042956
"452","ZNF148","7707",0.143601222568572
"453","ZNF146","7705",-0.0799861068376521
"454","ZNF143","7702",0.190030808916426
"455","ZNF142","7701",0.242113473847681
"456","ZNF141","7700",-0.134227635695959
"457","ZNF140","7699",-0.379007131366156
"458","ZNF14","7561",-0.20074686068571
"460","ZNF136","7695",0.111760846808777
"461","ZNF135","7694",0.290306469750478
"462","ZNF134","7693",0.321221102760121
"463","ZNF133","7692",0.40380038261868
"464","ZNF132","7691",0.261572734112722
"465","ZNF131","7690",-0.0227015691975573
"466","ZNF124","7678",-0.173301876686736
"467","ZNF121","7675",0.419171357129103
"468","ZNF12","7559",-0.174701608323937
"470","ZNF117","51351",-0.0149375237762887
"471","ZNF114","163071",-0.29854635285099
"472","ZNF101","94039",0.342017046910648
"473","ZNF100","163227",-0.0373665903904872
"474","ZNF10","7556",0.288199374042831
"475","ZMYND8","23613",0.315950496230286
"476","ZMYND19","116225",0.549944298754035
"478","ZMYND15","84225",0.254365154448741
"479","ZMYND12","84217",0.322484931893953
"480","ZMYND11","10771",-0.103933864541931
"481","ZMYND10","51364",-0.0366606249679554
"482","ZMYM6","9204",-0.0844589302694094
"483","ZMYM5","9205",0.0200588728901114
"484","ZMYM4","9202",0.351589214202775
"485","ZMYM3","9203",0.167991873731763
"486","ZMYM1","79830",0.268909304435943
"487","ZMPSTE24","10269",0.0416838818768432
"488","ZMIZ2","83637",0.0388037751590011
"489","ZMAT5","55954",0.374552587074189
"490","ZMAT3","64393",-0.0813746728932531
"491","ZMAT2","153527",-0.0373021862280353
"492","ZMAT1","84460",0.2143774994409
"493","ZKSCAN1","7586",0.128118057839294
"494","ZIM3","114026",0.0324175735552789
"495","ZIM2","23619",-0.155023705409484
"496","ZIK1","284307",0.194491763421644
"497","ZIC5","85416",0.0203860728028641
"498","ZIC4","84107",-0.192444316448061
"499","ZIC3","7547",0.116106157237716
"500","ZIC2","7546",-0.137735694180469
"501","ZIC1","7545",0.155344051827744
"502","ZHX3","23051",0.346276786375846
"503","ZHX2","22882",-0.264582349376993
"504","ZHX1","11244",-0.0535226155999174
"505","ZGPAT","84619",0.159353860272848
"506","ZFYVE9","9372",0.229609823870593
"507","ZFYVE28","57732",-0.0165644051934601
"508","ZFYVE27","118813",0.311261849139745
"509","ZFYVE26","23503",0.550604333565483
"510","ZFYVE21","79038",0.217229473892132
"512","ZFYVE19","84936",0.0862595836500012
"513","ZFYVE16","9765",-0.514318931311501
"514","ZFYVE1","53349",-0.232780266627345
"515","ZFY","7544",-0.316992299350522
"516","ZFX","7543",0.509264194836821
"517","ZFR","51663",-0.168256384693844
"518","ZFPM2","23414",-0.160417431345513
"519","ZFPM1","161882",0.234466168585284
"520","ZFPL1","7542",-0.0315341620222852
"522","ZFP91","80829",0.392032157495396
"523","ZFP90","146198",0.128442237845979
"524","ZFP64","55734",-0.0978715032749447
"525","ZFP42","132625",-0.273188765444301
"526","ZFP41","286128",0.0786742780995697
"527","ZFP37","7539",0.51675201680974
"528","ZFP36L2","678",-0.0638481731668432
"529","ZFP36L1","677",-0.356599985276428
"530","ZFP36","7538",-0.00156005882616068
"531","ZFP3","124961",0.0773395729404344
"532","ZFP28","140612",0.265707037773205
"534","ZFP2","80108",0.0864866484655401
"537","ZFP1","162239",-0.0994091465831971
"538","ZFHX4","79776",-0.0794833444421803
"540","ZFAND6","54469",-0.247235168960972
"541","ZFAND3","60685",-0.0990317885664828
"542","ZFAND2B","130617",-0.0225206939033316
"543","ZFAND2A","90637",0.117661625489221
"544","ZFAND1","79752",-0.117015489978068
"546","ZDHHC9","51114",0.115328148751592
"547","ZDHHC8","29801",0.286486831879754
"548","ZDHHC7","55625",0.380128022601779
"549","ZDHHC6","64429",0.571641840777225
"550","ZDHHC5","25921",0.0233568654526665
"551","ZDHHC4","55146",-0.184986678031431
"552","ZDHHC3","51304",0.00166947185171167
"553","ZDHHC24","254359",-0.099343921945457
"554","ZDHHC23","254887",0.00715451533138231
"555","ZDHHC22","283576",0.138120450350943
"556","ZDHHC21","340481",-0.010404448089847
"557","ZDHHC20","253832",0.102352919160132
"558","ZDHHC2","51201",-0.373223683779722
"559","ZDHHC19","131540",0.0705430113176243
"560","ZDHHC18","84243",-0.387275985655317
